open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-26 15:00:00,0.7072,0.709,0.699,0.7056,16487978.0,2024-04-26 15:59:59.999,11600676.42130,28814,7802189,5490383.43760,0
2024-04-26 16:00:00,0.7057,0.7079,0.7016,0.7048,10459981.0,2024-04-26 16:59:59.999,7375727.00050,21276,4993837,3521347.62380,0
2024-04-26 17:00:00,0.7049,0.7096,0.7036,0.7091,6972021.0,2024-04-26 17:59:59.999,4929186.71030,13512,3810632,2694081.34840,0
2024-04-26 18:00:00,0.7091,0.7132,0.7074,0.7122,7398518.0,2024-04-26 18:59:59.999,5261501.46670,14127,4019106,2857976.31340,0
2024-04-26 19:00:00,0.7122,0.7122,0.7089,0.7091,5576146.0,2024-04-26 19:59:59.999,3962844.11870,10470,2288825,1626726.32230,0
2024-04-26 20:00:00,0.7092,0.7153,0.7092,0.7119,7357060.0,2024-04-26 20:59:59.999,5241635.90340,12713,3561875,2537653.56340,0
2024-04-26 21:00:00,0.7119,0.7137,0.7096,0.7129,4054163.0,2024-04-26 21:59:59.999,2884643.48700,8225,2009140,1429601.30820,0
2024-04-26 22:00:00,0.7129,0.7129,0.7005,0.7022,12916987.0,2024-04-26 22:59:59.999,9104111.72210,20305,6199425,4367715.23960,0
2024-04-26 23:00:00,0.7023,0.705,0.7017,0.7028,5275499.0,2024-04-26 23:59:59.999,3711065.78180,10359,2379401,1673906.80140,0
2024-04-27 00:00:00,0.7028,0.7056,0.692,0.6975,20829156.0,2024-04-27 00:59:59.999,14535671.99240,33307,10803684,7536018.51150,0
2024-04-27 01:00:00,0.6975,0.6979,0.68,0.6862,47011033.0,2024-04-27 01:59:59.999,32291398.65760,69266,25288930,17368263.66620,0
2024-04-27 02:00:00,0.6861,0.6986,0.6841,0.6943,13163441.0,2024-04-27 02:59:59.999,9113227.48890,26906,6648615,4604457.96830,0
