open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-21 17:00:00,-0.07754904442808098,-0.1105554819973456,-0.049456926649565226,0.02235316507419177,-0.44169753563015185,2024-04-21 17:59:59.999,6845669.8921,19642,5324131,3766049.82,0,-0.33976974063930293,-0.1499342022500478,-0.7415730776972063,0.03455315956998228,0.8176401451654974,-2.1303618392411727,0,0,-0.07699423525555603
2024-04-21 18:00:00,0.021843401353744872,-0.11835646153427284,0.07344055674168319,0.02235316507419177,-0.7833236064817884,2024-04-21 18:59:59.999,4466996.6465,14096,3019142,2140383.7464,0,-0.3041319065390161,-0.14760683361704344,-0.7415730776972057,-0.09378787719957261,0.6315674820892596,-2.003457901394155,100,0,0.02235316507419177
2024-04-21 19:00:00,0.021843401353744872,-0.024744707091137293,0.12930304919225327,-0.02732053509068213,-0.7268351578179457,2024-04-21 19:59:59.999,4876990.1557,15751,3382537,2405147.3324,0,-0.2743347174718299,-0.1481913018906299,-0.8377963381257215,-0.21172315413090495,0.4570520734244041,-1.8772044619140755,0,0,0.02235316507419177
2024-04-21 20:00:00,-0.027852821537168053,0.04546410874121653,0.0697163905783124,0.19812164258067483,-0.2896000150098197,2024-04-21 20:59:59.999,7952348.8293,17898,6328974,4502681.2496,0,-0.23364819020733305,-0.1359518125045579,-0.25912158292045523,-0.22312807830371958,0.31495856087944596,-1.5230220796718508,0,0,-0.02732053509068213
2024-04-21 21:00:00,0.19769157466005835,0.2950954539229142,0.29316636038058447,0.14080583469812444,-0.41563644072635103,2024-04-21 21:59:59.999,7126067.2423,18693,4597296,3296408.2786,0,-0.19880230797594234,-0.12744680411183368,-0.3843163314986632,-0.2506681609558872,0.19529229874577061,-1.2780229300713366,0,0,0.19812164258067483
2024-04-21 22:00:00,0.14034977901669368,0.22878712785902833,0.25592469874687246,0.20194269643951096,-0.18614717407384174,2024-04-21 22:59:59.999,8733385.6221,20721,5738252,4105928.9807,0,-0.15573992510475712,-0.11580385770808027,-0.22928837438935248,-0.24875750376480527,0.09997495994222211,-1.0120310942389752,0,0,0.14080583469812444
2024-04-21 23:00:00,0.19769157466005835,0.06496655758353896,0.22613136943990203,0.14462688855696057,-0.747715897598361,2024-04-21 23:59:59.999,4743696.9132,14141,3126674,2229512.4155,0,-0.12020108498807956,-0.10787199845523594,-0.3658896382370765,-0.2655730776508203,0.02006279539656353,-0.843742315034369,0,0,0.20194269643951096
2024-04-22 00:00:00,0.14034977901669368,0.287294474385987,0.2000622062963024,0.14462688855696057,-0.056550695670197396,2024-04-22 00:59:59.999,9644850.6394,25099,6032100,4312913.164,0,-0.0837712990188966,-0.10025119250642099,-0.3658896382370771,-0.27665321543056753,-0.04627746330997358,-0.6954804760632305,100,0,0.14462688855696057
2024-04-22 01:00:00,0.14417256539291742,0.40820965720837216,0.1926138739695608,0.09113213453325054,0.9381964464207027,2024-04-22 01:59:59.999,16668522.9505,37202,11430585,8170636.4982,0,-0.04476766947580676,-0.09596677597578314,-0.5038955494057678,-0.3019811724563318,-0.10485986583885934,-0.6107323178453383,0,0,0.14462688855696057
2024-04-22 02:00:00,0.08683076974955702,0.04546410874121653,0.12557888302887835,0.1713742655688177,0.06277773056081895,2024-04-22 02:59:59.999,10432815.7206,25422,7313740,5203526.1941,0,0.00195749078902024,-0.087294074355289,-0.25565982461416964,-0.29101415334337616,-0.1493398701978915,-0.4566752892046907,0,0,0.09113213453325054
